Hour;Total_Consumption
223;1.5295833333333333
224;0.9762500000000001
225;0.4358333333333334
226;0.4395833333333333
227;0.45458333333333334
228;0.4741666666666667
229;0.4804166666666666
230;1.0562500000000001
231;1.5720833333333333
232;1.9291666666666665
233;2.3104166666666663
234;2.2983333333333333
235;2.0533333333333332
236;1.8425
237;1.3833333333333333
238;0.5974999999999999
239;0.5883333333333334
240;0.5754166666666667
241;0.5716666666666665
242;0.5679166666666666
243;0.5670833333333334
244;0.5604166666666666
245;1.02625
246;1.5354166666666667
247;0.9837499999999999
248;0.67375
249;0.4783333333333332
250;0.47958333333333336
251;0.48375000000000007
252;0.4904166666666668
253;0.4974999999999998
254;0.49
255;0.4645833333333334
256;0.44666666666666666
257;2.080833333333333
258;2.705416666666667
259;2.8475000000000006
260;2.482916666666667
261;0.9949999999999999
262;0.80625
263;0.54
264;0.5383333333333333
265;0.5349999999999999
266;0.5341666666666667
267;1.3808333333333334
268;2.16375
269;2.15125
270;2.1954166666666666
271;2.7866666666666666
272;2.504166666666667
273;1.2516666666666665
274;1.26
275;1.2691666666666663
276;1.2566666666666668
277;1.256666666666667
278;1.2449999999999997
279;1.2095833333333335
280;1.1795833333333334
281;6.224583333333333
282;11.42375
283;9.33875
284;9.625416666666666
285;6.580833333333333
286;1.3
287;0.605
288;0.5558333333333334
289;0.55875
290;0.5466666666666666
291;0.6775
292;2.1358333333333333
293;1.3433333333333333
294;1.71625
295;2.75625
296;3.5675000000000003
297;1.7933333333333337
298;1.0558333333333332
299;2.217083333333333
300;2.545833333333334
301;0.5366666666666668
302;0.535416666666667
303;0.9508333333333334
304;1.6199999999999999
305;1.1383333333333334
306;2.20625
307;2.1254166666666667
308;2.427916666666667
309;2.1766666666666667
310;1.2333333333333334
311;0.635
312;0.64
313;0.52625
314;0.5333333333333333
315;0.7645833333333334
316;2.1720833333333336
317;1.7324999999999997
318;2.1654166666666663
319;2.1525000000000003
320;2.3579166666666667
321;2.2212500000000004
322;0.7637499999999999
323;0.49041666666666667
324;0.49374999999999986
325;0.5412499999999998
326;3.50875
327;1.0608333333333335
328;1.21
329;1.5616666666666665
330;1.635
331;1.605833333333333
332;1.59875
333;1.31125
334;0.9216666666666666
335;0.6441666666666666
336;0.6425000000000001
337;0.6395833333333333
338;0.6395833333333334
339;0.6329166666666667
340;1.6079166666666664
341;2.3308333333333335
342;2.5154166666666664
343;1.7004166666666665
344;1.9487499999999998
345;0.51625
346;0.5233333333333334
347;0.5395833333333333
348;0.5250000000000001
349;0.5249999999999999
350;0.5125000000000001
351;0.49000000000000005
352;0.48374999999999996
353;0.6770833333333334
354;2.7258333333333336
355;4.6000000000000005
356;1.9716666666666667
357;3.0204166666666667
358;1.9220833333333334
359;1.5824999999999998
360;0.7804166666666666
361;0.6483333333333333
362;0.6095833333333334
363;0.5920833333333333
364;1.1129166666666668
365;2.2258333333333336
366;2.237083333333333
367;2.24125
368;2.236666666666667
369;1.9395833333333334
370;2.8474999999999997
371;2.716666666666667
372;2.5625
373;3.872916666666667
374;2.3712500000000003
375;2.834166666666667
376;2.627083333333333
377;5.274583333333334
378;10.028333333333334
379;9.764166666666666
380;10.110833333333332
381;9.636666666666667
382;6.927083333333334
383;1.3487500000000001
384;0.6195833333333334
385;0.6033333333333333
386;1.1491666666666667
387;2.17125
388;2.2370833333333335
389;2.2504166666666667
390;2.3325
391;2.265
392;2.0579166666666664
393;0.5075000000000002
394;0.4975000000000002
395;0.5341666666666667
396;0.5337500000000005
397;0.5308333333333332
398;1.20625
399;1.9195833333333336
400;2.956666666666667
401;11.297083333333333
402;5.139583333333333
403;3.32
404;3.0945833333333335
405;3.335416666666667
406;1.4495833333333334
407;0.4966666666666666
408;0.51125
409;0.50625
410;0.8079166666666667
411;1.9141666666666668
412;2.1425000000000005
